relpath,path,filename,split,class_raw,group_key,sha256,dhash,source_name,specimen,width,height,mode,img_format,bytes,status,status_reason,error
Tomato___Late_blight/c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg,c1775bad-7c02-41fb-bb7d-f8df91d60ac3___GHLB_PS Leaf 23.5 Day 13.jpg,,Tomato___Late_blight,nan,90220c67ab2c3ed150e93f0c26691d463200e784c74152e62acedac8a4d2d525,2d3c0e0626262606,GHLB_PS Leaf 23.5 Day 13,ghlb_ps leaf 23.5,256,256,RGB,JPEG,4787,dropped,exact duplicate of another file,
Tomato___Late_blight/d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG,d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG,,Tomato___Late_blight,nan,a05e573ae6c4a28b077b8c9d01249be849f4f8e1790b2625b42c6bc01098f718,f6d5bd3b367c38d0,GHLB2 Leaf 102,,256,256,RGB,JPEG,8687,dropped,exact duplicate of another file,
Tomato___Late_blight/d82b634e-9a19-497b-b698-aaf100d622a1___GHLB_PS Leaf 24 Day 13.jpg,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\d82b634e-9a19-497b-b698-aaf100d622a1___GHLB_PS Leaf 24 Day 13.jpg,d82b634e-9a19-497b-b698-aaf100d622a1___GHLB_PS Leaf 24 Day 13.jpg,,Tomato___Late_blight,nan,3a60a7b6f3a287981d21dca37f27e5480cc46d1144688d435e53db7a47b7006f,1a9e0e06060d4d46,GHLB_PS Leaf 24 Day 13,ghlb_ps leaf 24,256,256,RGB,JPEG,6283,dropped,exact duplicate of another file,
Tomato___Late_blight/e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG,e20107e7-137f-400e-817f-5dc4c58e5d70___GHLB2 Leaf 8677.JPG,,Tomato___Late_blight,nan,6e1610d4e0f6f84108af112322d11779254b2b2d41958449c64b0bf938628444,07086949f1304101,GHLB2 Leaf 8677,,256,256,RGB,JPEG,10961,dropped,exact duplicate of another file,
Tomato___Late_blight/e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___Late_blight\e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG,,Tomato___Late_blight,nan,2aeb7479e975df37dfb54aa7b403f57f2ad90b018c37809e572a2a932f55d2a7,00340c98c8e42400,GHLB2 Leaf 8999,,256,256,RGB,JPEG,11665,dropped,exact duplicate of another file,
Tomato___healthy/34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___healthy\34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,34c81c57-e1fa-49dd-a49d-34fe8b2385fe___GH_HL Leaf 466.1.JPG,,Tomato___healthy,nan,2a05a74db3a270ac0ec77c00ebe89a332eed589819435129cc3c29eb6e701eb2,9271e8ac8e0c8c48,GH_HL Leaf 466.1,,256,256,RGB,JPEG,13610,dropped,exact duplicate of another file,
Tomato___healthy/505465db-407b-4e0a-8110-7479dad5261c___GH_HL Leaf 389.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___healthy\505465db-407b-4e0a-8110-7479dad5261c___GH_HL Leaf 389.JPG,505465db-407b-4e0a-8110-7479dad5261c___GH_HL Leaf 389.JPG,,Tomato___healthy,nan,addddf5cb2a74192c9836be70fc223659062675eb325d55429c341a0c44937d0,166cd4a4cdcb0e58,GH_HL Leaf 389,,256,256,RGB,JPEG,11225,dropped,exact duplicate of another file,
Tomato___healthy/a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___healthy\a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG,,Tomato___healthy,nan,12852b3616bcf0ba39b03b5677e74f50f5f6abf4d38957fe17949e23e2a4b244,25e0d1d8ddcc0c04,GH_HL Leaf 434,,256,256,RGB,JPEG,14716,dropped,exact duplicate of another file,
Tomato___healthy/cfd491d6-4af5-4728-8f0e-0d330a07174a___GH_HL Leaf 482.2.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___healthy\cfd491d6-4af5-4728-8f0e-0d330a07174a___GH_HL Leaf 482.2.JPG,cfd491d6-4af5-4728-8f0e-0d330a07174a___GH_HL Leaf 482.2.JPG,,Tomato___healthy,nan,61f6fa6195ef5c59c4918a292c641d4cd3d2d31ff051dcd0f36a625daf93f5ef,0f65d118888c8800,GH_HL Leaf 482.2,,256,256,RGB,JPEG,16740,dropped,exact duplicate of another file,
Tomato___healthy/d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___healthy\d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG,d2ce7896-6fa4-45e6-96c5-d162da0e3e1c___GH_HL Leaf 220.JPG,,Tomato___healthy,nan,32e9ffabaa054c19ae8df95e94fbd7a25105defdea1214eb5f8bd804ea9a7428,ca6168ccce878ee8,GH_HL Leaf 220,,256,256,RGB,JPEG,18175,dropped,exact duplicate of another file,
Tomato___healthy/e786ac89-29fe-47e3-b49e-b9a9ee7edd9d___GH_HL Leaf 342.1.JPG,C:\Users\Welcome\Desktop\npn\plantvillage_full\raw\color\Tomato___healthy\e786ac89-29fe-47e3-b49e-b9a9ee7edd9d___GH_HL Leaf 342.1.JPG,e786ac89-29fe-47e3-b49e-b9a9ee7edd9d___GH_HL Leaf 342.1.JPG,,Tomato___healthy,nan,68cda8c3ceca7626cc6727e14186d356b10d1e345eb16e425ef82f21a30258ed,180d0d8c8e0b8eec,GH_HL Leaf 342.1,,256,256,RGB,JPEG,15878,dropped,exact duplicate of another file,
